Name,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent,Year
Oklahoma,3579212,58478,51942,38770,431,2006
Oregon,3700758,105312,39389,46230,624,2006
Pennsylvania,12440621,184211,145229,46259,536,2006
Puerto Rico,3927776,24762,62144,17621,308,2006
Rhode Island,1067610,13648,13338,51814,727,2006
South Carolina,4321249,66494,26100,41100,491,2006
South Dakota,781919,26112,6968,42791,422,2006
Tennessee,6038803,85980,68462,40315,484,2006
Texas,23507783,368440,125653,44922,564,2006
Utah,2550063,54558,16466,51309,603,2006
Vermont,623908,17547,7923,47665,624,2006
Virginia,7642884,149168,48589,56277,711,2006
Washington,6395798,154032,79734,52583,686,2006
West Virginia,1818470,18125,15884,35059,371,2006
Wisconsin,5556506,110344,35983,48772,552,2006
Wyoming,515004,13915,3774,47423,498,2006
Alabama,4627851,50545,22027,40554,427,2007
Alaska,683478,19609,14406,64333,843,2007
Arizona,6338755,134566,40826,49889,703,2007
Arkansas,2834797,42238,17464,38134,421,2007
California,36553215,787343,363014,59948,984,2007
Colorado,4861515,146541,32009,55212,693,2007
Connecticut,3502309,65091,28085,65967,783,2007
Delaware,864764,12842,5723,54610,753,2007
District of Columbia,588292,14608,10235,54317,871,2007
Florida,18251243,340770,76880,47804,794,2007
Georgia,9544750,188556,38844,49136,614,2007
Hawaii,1283388,26516,12856,63746,1098,2007
Idaho,1499402,36997,12144,46253,564,2007
Illinois,12852548,219486,80430,54124,669,2007
Indiana,6345289,94556,55498,47448,518,2007
Iowa,2988047,73802,24966,47292,454,2007
Kansas,2775997,60068,21269,47451,479,2007
Kentucky,4241474,60114,33809,40267,447,2007
Louisiana,4293204,50838,20598,40926,494,2007
Maine,1317207,31176,23565,45888,569,2007
Maryland,5618344,100238,34345,68080,868,2007
Massachusetts,6449755,127156,63019,62365,828,2007
Michigan,10071822,148720,120994,47950,573,2007
Minnesota,5197621,137680,62119,55802,645,2007
Mississippi,2918785,28661,17751,36338,438,2007
Missouri,5878415,111923,53326,45114,481,2007
Montana,957861,33309,7476,43531,486,2007
Nebraska,1774571,51254,14265,47085,498,2007
Nevada,2565382,37201,16037,55062,842,2007
New Hampshire,1315828,34099,11874,62369,807,2007
New Jersey,8685920,137688,59866,67035,905,2007
New Mexico,1969915,44981,16856,41452,531,2007
New York,19297729,335463,197196,53514,802,2007
North Carolina,9061032,164377,55023,44670,532,2007
North Dakota,639715,19161,4927,43753,457,2007
Ohio,11466917,186325,114990,46597,511,2007
Oklahoma,3617316,63967,46014,41567,445,2007
Oregon,3747455,94926,33569,48730,653,2007
Pennsylvania,12432792,206755,144752,48576,555,2007
Puerto Rico,3942375,21554,61247,17741,304,2007
Rhode Island,1057832,16460,10619,53568,719,2007
South Carolina,4407709,77526,21576,43329,498,2007
South Dakota,796215,25033,7882,43424,436,2007
Tennessee,6156719,94257,61661,42367,503,2007
Texas,23904380,388009,103004,47548,589,2007
Utah,2645330,66171,10659,55109,636,2007
Vermont,621254,20944,6520,49907,657,2007
Virginia,7712091,172220,48691,59562,753,2007
Washington,6468424,149405,78357,55591,721,2007
West Virginia,1812035,20634,15532,37060,387,2007
Wisconsin,5601640,113272,33436,50578,569,2007
Wyoming,522830,12545,4254,51731,529,2007
Alabama,4661900,47099,23307,42666,447,2008
Alaska,686293,20198,14522,68460,863,2008
Arizona,6500180,141022,47136,50958,738,2008
Arkansas,2855390,41228,22141,38815,435,2008
California,36756666,805257,391724,61021,1035,2008
Colorado,4939456,161571,34441,56993,739,2008
Connecticut,3501252,70901,36868,68595,813,2008
Delaware,873092,12517,6995,57989,754,2008
District of Columbia,591833,14084,10671,57936,918,2008
Florida,18328340,370545,95288,47778,808,2008
Georgia,9685744,214197,45666,50861,630,2008
Hawaii,1288198,30105,13519,67214,1167,2008
Idaho,1523816,37741,14110,47576,590,2008
Illinois,12901564,248198,87653,56235,689,2008
Indiana,6376792,94007,64769,47966,534,2008
Iowa,3002557,69521,27282,48980,479,2008
Kansas,2802134,60463,25577,50177,496,2008
Kentucky,4269245,53902,39946,41538,452,2008
Louisiana,4410796,46215,21950,43733,531,2008
Maine,1316456,33953,25849,46581,614,2008
Maryland,5633597,111130,32537,70545,914,2008
Massachusetts,6497967,129985,66463,65401,860,2008
Michigan,10003422,154956,130497,48591,589,2008
Minnesota,5220393,134779,64347,57288,665,2008
Mississippi,2938618,27920,19537,37790,446,2008
Missouri,5911605,118464,53168,46867,506,2008
Montana,967440,31155,8133,43654,515,2008
Nebraska,1783432,46407,16090,49693,506,2008
Nevada,2600167,37497,21084,56361,866,2008
New Hampshire,1315809,35981,11941,63731,812,2008
New Jersey,8682661,142203,66152,70378,935,2008
New Mexico,1984356,40226,17810,43508,563,2008
New York,19490297,358631,213176,56033,837,2008
North Carolina,9222414,189102,55425,46549,546,2008
North Dakota,641481,21252,5200,45685,468,2008
Ohio,11485910,177889,118280,47988,524,2008
Oklahoma,3642361,60678,46024,42822,462,2008
Oregon,3790060,105164,35232,50169,674,2008
Pennsylvania,12448279,200914,157621,50713,584,2008
Puerto Rico,3954037,29530,64989,18401,326,2008
Rhode Island,1050788,18679,10998,55701,732,2008
South Carolina,4479800,74128,29260,44625,525,2008
South Dakota,804194,21860,6734,46032,468,2008
Tennessee,6214888,96213,57404,43614,520,2008
Texas,24326974,430840,131474,50043,614,2008
Utah,2736424,60178,12634,56633,680,2008
Vermont,621270,22190,7237,52104,682,2008
Virginia,7769089,168172,48491,61233,791,2008
Washington,6549224,161458,87543,58078,767,2008
West Virginia,1814468,22641,17523,37989,397,2008
Wisconsin,5627968,109976,38385,52094,589,2008
Wyoming,532668,14030,2656,53207,539,2008
Alabama,4708708,48426,29804,40489,468,2009
Alaska,698473,15398,14993,66953,903,2009
Arizona,6595778,142062,57416,48745,732,2009
Arkansas,2889450,42408,23257,37823,435,2009
California,36961664,832146,449059,58931,1058,2009
Colorado,5024748,166093,37466,55430,753,2009
Connecticut,3518288,69894,38919,67034,839,2009
Delaware,885122,13434,8567,56860,778,2009
District of Columbia,599657,15041,13308,59290,961,2009
Florida,18537969,375151,115630,44736,802,2009
Georgia,9829211,207333,57584,47590,637,2009
Hawaii,1295178,28673,16443,64098,1172,2009
Idaho,1545801,34553,15193,44926,587,2009
Illinois,12910409,232678,111669,53966,708,2009
Indiana,6423113,94697,68643,45424,545,2009
Iowa,3007857,75389,29483,48044,496,2009
Kansas,2818747,59047,28182,47817,515,2009
Kentucky,4314113,57071,42486,40072,475,2009
Louisiana,4492076,48479,22468,42492,566,2009
Maine,1318301,33810,26669,45734,626,2009
Maryland,5699478,117152,41470,69272,941,2009
Massachusetts,6593587,136360,70320,64081,865,2009
Michigan,9969727,147582,147919,45255,591,2009
Minnesota,5266215,131251,66091,55616,683,2009
Mississippi,2951996,30737,27666,36646,467,2009
Missouri,5987580,118973,55963,45229,520,2009
Montana,974989,27120,8728,42322,533,2009
Nebraska,1796622,40074,15482,47357,518,2009
Nevada,2643085,40832,26176,53341,849,2009
New Hampshire,1324575,35560,14663,60567,825,2009
New Jersey,8707740,162170,76828,68342,962,2009
New Mexico,2009671,45097,18027,43028,585,2009
New York,19541453,343814,224674,54659,877,2009
North Carolina,9380884,180743,64936,43674,568,2009
North Dakota,646844,19728,6155,47827,490,2009
Ohio,11542645,185761,150463,45395,528,2009
Oklahoma,3687050,56214,47863,41664,481,2009
Oregon,3825657,108863,51179,48457,704,2009
Pennsylvania,12604767,211544,161311,49520,597,2009
Puerto Rico,3967288,25986,70263,18314,334,2009
Rhode Island,1053209,18045,9218,54119,748,2009
South Carolina,4561242,76128,29891,42442,545,2009
South Dakota,812383,24581,7520,45043,443,2009
Tennessee,6296254,91933,65543,41725,532,2009
Texas,24782302,417500,155207,48259,632,2009
Utah,2784572,60948,19194,55117,700,2009
Vermont,621760,22920,9121,51618,709,2009
Virginia,7882590,157174,60292,59330,832,2009
Washington,6664195,162613,103993,56548,801,2009
West Virginia,1819777,25502,19865,37435,415,2009
Wisconsin,5654774,115001,43101,49993,599,2009
Wyoming,544270,14467,3221,52664,583,2009
Alabama,4785298,55782,29713,40474,471,2010
Alaska,713985,18805,16963,64576,904,2010
Arizona,6413737,150889,64339,46789,709,2010
Arkansas,2921606,36259,20082,38307,468,2010
California,37349363,824305,500432,57708,1066,2010
Colorado,5049071,155132,42931,54046,756,2010
Connecticut,3577073,67215,42376,64032,840,2010
Delaware,899769,14762,8431,55847,798,2010
District of Columbia,604453,14870,11758,60903,1107,2010
Florida,18843326,362831,140643,44409,799,2010
Georgia,9712587,198889,66956,46430,640,2010
Hawaii,1363621,33658,14784,63030,1168,2010
Idaho,1571450,40257,15459,43490,576,2010
Illinois,12843166,249207,119391,52972,725,2010
Indiana,6490621,93626,65548,44613,547,2010
Iowa,3049883,73164,33537,47961,509,2010
Kansas,2859169,59886,27337,48257,520,2010
Kentucky,4346266,65922,41160,40062,477,2010
Louisiana,4544228,42109,24390,42505,571,2010
Maine,1327567,32346,28213,45815,618,2010
Maryland,5785982,122635,52814,68854,965,2010
Massachusetts,6557254,133432,76037,62072,896,2010
Michigan,9877574,143706,155354,45413,599,2010
Minnesota,5310584,143802,71147,55459,690,2010
Mississippi,2970036,28087,26205,36851,483,2010
Missouri,5996231,112679,55617,44301,524,2010
Montana,990898,30112,9851,42666,552,2010
Nebraska,1830429,39761,16109,48408,542,2010
Nevada,2704642,43778,29976,51001,811,2010
New Hampshire,1316759,39180,16416,61042,843,2010
New Jersey,8801624,145441,84598,67681,967,2010
New Mexico,2065932,41852,21680,42090,596,2010
New York,19392283,347072,243430,54148,903,2010
North Carolina,9561558,166510,78705,43326,564,2010
North Dakota,674499,18531,5880,48670,521,2010
Ohio,11536182,180003,161210,45090,541,2010
Oklahoma,3761702,68542,46968,42072,499,2010
Oregon,3838957,108132,54915,46560,705,2010
Pennsylvania,12709630,212107,180404,49288,619,2010
Puerto Rico,3722133,25597,72684,18862,343,2010
Rhode Island,1052886,15908,11464,52254,746,2010
South Carolina,4636312,72437,32255,42018,548,2010
South Dakota,816463,21018,9158,45904,502,2010
Tennessee,6356897,90494,71984,41461,539,2010
Texas,25257114,453258,167089,48615,647,2010
Utah,2776469,53014,21472,54744,693,2010
Vermont,625960,23357,12609,49406,707,2010
Virginia,8024617,167035,58333,60674,854,2010
Washington,6744496,162951,118766,55631,801,2010
West Virginia,1853973,20446,16912,38218,430,2010
Wisconsin,5691047,115359,50608,49001,604,2010
Wyoming,564460,13647,3852,53512,589,2010
Alabama,4802740,51126,33492,41415,482,2011
Alaska,722718,16875,15757,67825,945,2011
Arizona,6482505,145782,64349,46709,716,2011
Arkansas,2937979,40569,31304,38758,467,2011
California,37691912,857352,514924,57287,1077,2011
Colorado,5116796,154954,43971,55387,799,2011
Connecticut,3580709,72435,43495,65753,859,2011
Delaware,907135,15023,8762,58814,797,2011
District of Columbia,617996,14700,10065,63124,1131,2011
Florida,19057542,368113,139856,44299,801,2011
Georgia,9815210,193640,65233,46007,650,2011
Hawaii,1374810,29592,19471,61821,1178,2011
Idaho,1584985,41471,20465,43341,580,2011
Illinois,12869259,238350,115492,53234,736,2011
Indiana,6516922,90794,58961,46438,563,2011
Iowa,3062309,69772,28124,49427,520,2011
Kansas,2871238,59431,25655,48964,537,2011
Kentucky,4369356,52732,44323,41141,484,2011
Louisiana,4574836,41995,24432,41734,602,2011
Maine,1328188,34355,26750,46033,660,2011
Maryland,5828289,116524,59217,70004,989,2011
Massachusetts,6587536,144432,76711,62859,911,2011
Michigan,9876187,144120,150742,45981,605,2011
Minnesota,5344861,139664,75037,56954,707,2011
Mississippi,2978512,26321,25462,36919,509,2011
Missouri,6010688,113846,57152,45247,537,2011
Montana,998199,27076,10647,44222,551,2011
Nebraska,1842641,43461,15031,50296,542,2011
Nevada,2723322,32812,32611,48927,800,2011
New Hampshire,1318194,39774,12738,62647,839,2011
New Jersey,8821155,155958,87824,67458,985,2011
New Mexico,2082224,43413,22248,41963,618,2011
New York,19465197,342221,242414,55246,941,2011
North Carolina,9656401,197184,74299,43916,578,2011
North Dakota,683932,21193,5235,51704,546,2011
Ohio,11544951,174825,157297,45749,545,2011
Oklahoma,3791508,57193,52471,43225,509,2011
Oregon,3871859,107180,52334,46816,723,2011
Pennsylvania,12742886,220246,184989,50228,633,2011
Puerto Rico,3706690,26402,70703,18660,354,2011
Rhode Island,1051302,18530,10590,53636,763,2011
South Carolina,4679230,73778,31425,42367,566,2011
South Dakota,824082,22698,7622,48321,505,2011
Tennessee,6403353,89596,81538,41693,547,2011
Texas,25674681,474951,167272,49392,660,2011
Utah,2817222,57879,18606,55869,717,2011
Vermont,626431,19640,11097,52776,745,2011
Virginia,8096604,176921,64798,61882,888,2011
Washington,6830038,170119,114258,56835,815,2011
West Virginia,1855364,22041,17905,38482,444,2011
Wisconsin,5711767,119608,51150,50395,622,2011
Wyoming,568158,11864,3916,56322,646,2011
Alabama,4822023,50955,35646,41574,510,2012
Alaska,731449,19899,16535,67712,990,2012
Arizona,6553255,148304,55881,47826,740,2012
Arkansas,2949131,42667,30414,40112,480,2012
California,38041430,865162,514798,58328,1100,2012
Colorado,5187582,168214,44180,56765,825,2012
Connecticut,3590347,71540,42755,67276,871,2012
Delaware,917092,18567,9009,58415,806,2012
District of Columbia,632323,15129,10456,66583,1158,2012
Florida,19317568,404287,163237,45040,815,2012
Georgia,9919945,201470,65212,47209,666,2012
Hawaii,1392313,29476,15055,66259,1207,2012
Idaho,1595728,41017,17634,45489,602,2012
Illinois,12875255,244042,120276,55137,752,2012
Indiana,6537334,98314,51433,46974,573,2012
Iowa,3074186,71929,32286,50957,536,2012
Kansas,2885905,56326,22980,50241,552,2012
Kentucky,4380415,56597,47602,41724,503,2012
Louisiana,4601893,46945,26581,42944,608,2012
Maine,1329192,33228,28847,46709,668,2012
Maryland,5884563,121882,56782,71122,1023,2012
Massachusetts,6646144,137047,79566,65339,923,2012
Michigan,9883360,153937,147791,46859,616,2012
Minnesota,5379139,146228,79147,58906,730,2012
Mississippi,2984926,28231,37090,37095,504,2012
Missouri,6021988,120239,60584,45321,545,2012
Montana,1005141,31067,10325,45076,590,2012
Nebraska,1855525,46201,15717,50723,566,2012
Nevada,2758931,37564,32709,49760,800,2012
New Hampshire,1320718,39485,15705,63280,872,2012
New Jersey,8864590,168645,95245,69667,1012,2012
New Mexico,2085538,39294,21184,42558,633,2012
New York,19570261,349533,245761,56448,965,2012
North Carolina,9752073,191369,75302,45150,606,2012
North Dakota,699628,20982,4411,53585,576,2012
Ohio,11544225,178626,152277,46829,560,2012
Oklahoma,3814820,55872,48674,44312,528,2012
Oregon,3899353,104688,63241,49161,740,2012
Pennsylvania,12763536,226703,184003,51230,650,2012
Puerto Rico,3667084,21207,74980,19429,354,2012
Rhode Island,1050292,18165,12621,54554,769,2012
South Carolina,4723723,68210,29052,43107,590,2012
South Dakota,833354,24290,9427,48362,551,2012
Tennessee,6456243,101618,84866,42764,577,2012
Texas,26059203,455654,160952,50740,684,2012
Utah,2855287,61813,21449,57049,741,2012
Vermont,626011,23193,11931,52977,754,2012
Virginia,8185867,187750,59501,61741,906,2012
Washington,6897012,175237,106169,57573,838,2012
West Virginia,1855413,21171,16105,40196,448,2012
Wisconsin,5726398,109393,49280,51059,630,2012
Wyoming,576412,15788,3851,54901,654,2012
Alabama,4833722,50055,36480,42849,515,2013
Alaska,735132,15371,16885,72237,1008,2013
Arizona,6626624,150347,55579,48510,746,2013
Arkansas,2959373,34589,28383,40511,489,2013
California,38332521,877833,496232,60190,1120,2013
Colorado,5268367,177620,42757,58823,858,2013
Connecticut,3596080,75129,43230,67098,882,2013
Delaware,925749,15846,8773,57846,841,2013
District of Columbia,646449,14474,11339,67572,1222,2013
Florida,19552860,424181,162371,46036,838,2013
Georgia,9992167,208445,75345,47829,676,2013
Hawaii,1404054,29619,17877,68020,1244,2013
Idaho,1612136,38378,19843,46783,610,2013
Illinois,12882135,250948,125097,56210,772,2013
Indiana,6570902,98636,49780,47529,585,2013
Iowa,3090416,64401,31718,52229,554,2013
Kansas,2893957,55406,26602,50972,569,2013
Kentucky,4395295,59761,43435,43399,525,2013
Louisiana,4625470,47373,24799,44164,620,2013
Maine,1328302,35944,23264,46974,668,2013
Maryland,5928814,124944,54859,72483,1072,2013
Massachusetts,6692824,147491,81285,66768,958,2013
Michigan,9895622,164515,133190,48273,629,2013
Minnesota,5420380,135427,73839,60702,753,2013
Mississippi,2991207,22785,34101,37963,529,2013
Missouri,6044171,114179,59882,46931,566,2013
Montana,1015165,28478,8146,46972,600,2013
Nebraska,1868516,41789,14993,51440,574,2013
Nevada,2790136,44378,31492,51230,815,2013
New Hampshire,1323459,36720,14787,64230,883,2013
New Jersey,8899339,166363,98133,70165,1035,2013
New Mexico,2085287,37815,21072,43872,651,2013
New York,19651127,360333,253106,57369,992,2013
North Carolina,9848060,196868,74386,45906,619,2013
North Dakota,723393,16917,4979,55759,622,2013
Ohio,11570808,182681,146278,48081,569,2013
Oklahoma,3850568,57224,47278,45690,546,2013
Oregon,3930065,110334,60878,50251,769,2013
Pennsylvania,12773801,227765,163462,52007,675,2013
Puerto Rico,3615086,22680,87746,19183,352,2013
Rhode Island,1051511,15751,11473,55902,791,2013
South Carolina,4774839,68335,23081,44163,594,2013
South Dakota,844877,22385,10054,48947,529,2013
Tennessee,6495978,100653,81758,44297,589,2013
Texas,26448193,491120,158667,51704,711,2013
Utah,2900872,67201,17623,59770,766,2013
Vermont,626630,21399,12092,52578,768,2013
Virginia,8260405,182279,65536,62666,922,2013
Washington,6971406,170293,105080,58405,867,2013
West Virginia,1854304,22786,15724,41253,461,2013
Wisconsin,5742713,114671,51966,51467,644,2013
Wyoming,582658,10777,3144,58752,662,2013
Alabama,4849377,57233,32113,42830,521,2014
Alaska,736732,13915,13785,71583,1071,2014
Arizona,6731484,161653,52306,50068,766,2014
Arkansas,2966369,41375,26365,41262,506,2014
California,38802500,930975,480132,61933,1161,2014
Colorado,5355866,174353,46108,61303,898,2014
Connecticut,3596677,81594,46940,70048,901,2014
Delaware,935614,19287,8584,59716,862,2014
District of Columbia,658893,17012,10131,71648,1267,2014
Florida,19893297,465861,157908,47463,859,2014
Georgia,10097343,219216,65408,49321,693,2014
Hawaii,1419561,30505,15073,69592,1273,2014
Idaho,1634464,44352,18269,47861,635,2014
Illinois,12880580,264383,116717,57444,782,2014
Indiana,6596855,102249,48144,49446,591,2014
Iowa,3107126,74447,29943,53712,570,2014
Kansas,2904021,55940,21876,52504,591,2014
Kentucky,4413457,60300,40578,42958,525,2014
Louisiana,4649676,52360,27569,44555,641,2014
Maine,1330089,34543,21042,49462,677,2014
Maryland,5976407,122798,54266,73971,1092,2014
Massachusetts,6745408,163528,71838,69160,972,2014
Michigan,9909877,159227,116313,49847,641,2014
Minnesota,5457173,144022,77627,61481,768,2014
Mississippi,2994079,27966,29376,39680,525,2014
Missouri,6063589,121894,52313,48363,573,2014
Montana,1023579,34875,8578,46328,623,2014
Nebraska,1881503,39106,16398,52686,597,2014
Nevada,2839099,41115,31410,51450,813,2014
New Hampshire,1326813,41260,13579,66532,888,2014
New Jersey,8938175,180018,78196,71919,1070,2014
New Mexico,2085572,41567,16880,44803,655,2014
New York,19746227,361168,250683,58878,1030,2014
North Carolina,9943964,209085,64665,46556,632,2014
North Dakota,739482,20458,7754,59029,644,2014
Ohio,11594163,193922,141902,49308,579,2014
Oklahoma,3878051,61927,44878,47529,566,2014
Oregon,3970239,113068,64752,51075,795,2014
Pennsylvania,12787209,243453,168621,53234,687,2014
Puerto Rico,3548397,18732,98353,18928,364,2014
Rhode Island,1055173,19302,11925,54891,794,2014
South Carolina,4832482,72724,23012,45238,609,2014
South Dakota,853175,24119,9753,50979,539,2014
Tennessee,6549352,105862,81180,44361,594,2014
Texas,26956958,494337,139992,53035,735,2014
Utah,2942902,73746,14945,60922,775,2014
Vermont,626562,22667,10293,54166,791,2014
Virginia,8326289,177271,63820,64902,934,2014
Washington,7061530,180826,97783,61366,894,2014
West Virginia,1850326,18556,18081,41059,485,2014
Wisconsin,5757564,116946,51064,52622,657,2014
Wyoming,584153,14216,3747,57055,682,2014
Alabama,4858979,63757,30318,44765,536,2015
Alaska,738432,16095,16076,73355,1061,2015
Arizona,6828065,159681,49786,51492,791,2015
Arkansas,2978204,38370,22470,41995,521,2015
California,39144818,970039,456122,64500,1198,2015
Colorado,5456574,194904,42397,63909,987,2015
Connecticut,3590886,84879,54316,71346,927,2015
Delaware,945934,20878,6995,61255,877,2015
District of Columbia,672228,21529,9372,75628,1326,2015
Florida,20271272,493307,152581,49426,890,2015
Georgia,10214860,231968,60118,51244,720,2015
Hawaii,1431603,32616,13496,73486,1361,2015
Idaho,1654930,45237,18249,48275,658,2015
Illinois,12859995,268434,116576,59588,811,2015
Indiana,6619680,109168,44735,50532,603,2015
Iowa,3123899,64248,26945,54736,594,2015
Kansas,2911641,59428,17429,53906,601,2015
Kentucky,4425092,59739,34540,45215,545,2015
Louisiana,4670724,56858,23933,45727,647,2015
Maine,1329328,36488,21587,51494,700,2015
Maryland,6006401,131975,48191,75847,1133,2015
Massachusetts,6794422,164032,67828,70628,1014,2015
Michigan,9922576,158838,104923,51084,660,2015
Minnesota,5489594,157355,76456,63488,805,2015
Mississippi,2992333,25115,26598,40593,535,2015
Missouri,6083672,136530,48038,50238,588,2015
Montana,1032949,29109,8666,49509,671,2015
Nebraska,1896190,38329,12336,54996,611,2015
Nevada,2890845,48105,35867,52431,838,2015
New Hampshire,1330608,45424,16625,70303,895,2015
New Jersey,8958013,175053,75298,72222,1085,2015
New Mexico,2085109,42276,18738,45382,662,2015
New York,19795791,367645,241499,60850,1058,2015
North Carolina,10042802,227544,72744,47830,648,2015
North Dakota,756928,18103,5177,60557,702,2015
Ohio,11613423,200420,143865,51075,596,2015
Oklahoma,3911338,65232,44135,48568,590,2015
Oregon,4028977,116484,65942,54148,824,2015
Pennsylvania,12802503,252050,162502,55702,709,2015
Puerto Rico,3474182,21900,107040,18626,345,2015
Rhode Island,1056298,16928,14332,58073,809,2015
South Carolina,4896146,80706,24273,47238,629,2015
South Dakota,858469,24970,6565,53017,573,2015
Tennessee,6600299,111397,66385,47275,614,2015
Texas,27469114,548949,132637,55653,774,2015
Utah,2995919,77377,15308,62912,812,2015
Vermont,626042,19568,9618,56990,819,2015
Virginia,8382993,190819,62197,66262,959,2015
Washington,7170351,190433,96420,64129,949,2015
West Virginia,1844128,23448,17456,42019,512,2015
Wisconsin,5771337,119009,50833,55638,669,2015
Wyoming,586107,12136,3763,60214,697,2015
Alabama,4863300,68581,30539,46257,559,2016
Alaska,741894,18772,14751,76440,1096,2016
Arizona,6931071,189882,42624,53558,824,2016
Arkansas,2988248,40509,20105,44334,535,2016
California,39250017,1044550,447645,67739,1252,2016
Colorado,5540545,223327,42769,65685,1057,2016
Connecticut,3576452,93131,52558,73433,948,2016
Delaware,952065,19662,8298,61757,893,2016
District of Columbia,681170,21761,11025,75506,1290,2016
Florida,20612439,547673,155040,50860,931,2016
Georgia,10310371,264150,69040,53559,754,2016
Hawaii,1428557,34947,16137,74511,1359,2016
Idaho,1683140,44115,19067,51807,676,2016
Illinois,12801539,302177,118336,60960,832,2016
Indiana,6633053,118057,44903,52314,619,2016
Iowa,3134693,74833,25937,56247,611,2016
Kansas,2907289,63638,17012,54935,616,2016
Kentucky,4436974,71777,33595,46659,555,2016
Louisiana,4681666,61808,27965,45146,656,2016
Maine,1331479,37251,16775,53079,712,2016
Maryland,6016447,144409,51796,78945,1160,2016
Massachusetts,6811779,180089,68278,75297,1055,2016
Michigan,9928300,180561,96188,52492,676,2016
